snapped_at,volume
2024-02-18 00:00:00 +0000,2754299100.94958220072407066119515942
2024-02-19 00:00:00 +0000,2272341512.31075194029277958405885312
2024-02-20 00:00:00 +0000,2810099540.56676332342462135824829533
2024-02-21 00:00:00 +0000,3884427340.51865755942051898419137469
2024-02-22 00:00:00 +0000,3163235399.17573647875045078307913078
2024-02-23 00:00:00 +0000,2507849181.78451490553745582660248528
2024-02-24 00:00:00 +0000,2692891555.77719274546838038934076766
2024-02-25 00:00:00 +0000,2677435876.4948549283077832049641142
2024-02-26 00:00:00 +0000,2282370110.37034337431803975423678048
2024-02-27 00:00:00 +0000,2864041424.6759769483685151980543395
2024-02-28 00:00:00 +0000,4008263908.315915457395768738874757
2024-02-29 00:00:00 +0000,8172036514.79435034650114450035836464
2024-03-01 00:00:00 +0000,8560392479.09478060381313589297507283
2024-03-02 00:00:00 +0000,6021486705.44854529546066763977122083
2024-03-03 00:00:00 +0000,8366519250.7907395518020538556307766
2024-03-04 00:00:00 +0000,7849495835.87899028577639483536126362
2024-03-05 00:00:00 +0000,11107744265.91287580283228033075854927
2024-03-06 00:00:00 +0000,15878083801.899599930112409410342718
2024-03-07 00:00:00 +0000,9350650087.02055248509613362321544975
2024-03-08 00:00:00 +0000,7402388150.0215497917920489558113378
2024-03-09 00:00:00 +0000,7260840647.45464420460724443894341996
2024-03-10 00:00:00 +0000,6179974842.83489449702895191064833857
2024-03-11 00:00:00 +0000,7942608860.4083749104584367502118494
2024-03-12 00:00:00 +0000,10841747617.217061604619877704367266
2024-03-13 00:00:00 +0000,7625477745.63611637943091570550578358
2024-03-14 00:00:00 +0000,7278571430.76850904807265305618598336
2024-03-15 00:00:00 +0000,9173951924.23659016316434586135024088
2024-03-16 00:00:00 +0000,9634402727.71479037278692640335631504
2024-03-17 00:00:00 +0000,6288313907.34594400674790105131776685
2024-03-18 00:00:00 +0000,6497322718.01744127320387694410639664
2024-03-19 00:00:00 +0000,4671073058.6334157538916696125415582
2024-03-20 00:00:00 +0000,6735100474.95816897710986387624805612
2024-03-21 00:00:00 +0000,6924034098.57511706840226891870763386
2024-03-22 00:00:00 +0000,6378105911.82081692890248418462033164
2024-03-23 00:00:00 +0000,4413395558.23144432609298995929079747
2024-03-24 00:00:00 +0000,3258446107.8005509001643833137161945
2024-03-25 00:00:00 +0000,3275731228.10520252188031490058872872
2024-03-26 00:00:00 +0000,5294583803.04521585617752163215462292
2024-03-27 00:00:00 +0000,7280904896.37140052460730534620988496
2024-03-28 00:00:00 +0000,6444014563.14643311758714480967622827
2024-03-29 00:00:00 +0000,5037551465.3929238045444904307038848
2024-03-30 00:00:00 +0000,4705331886.9506461555596544807175004
2024-03-31 00:00:00 +0000,3281561657.4789449892627338128275869
2024-04-01 00:00:00 +0000,2966242541.81680734513025932342390387
2024-04-02 00:00:00 +0000,4032460616.50262589241432033627673818
2024-04-03 00:00:00 +0000,3942444723.16024472189466060552225426
2024-04-04 00:00:00 +0000,2845588053.98756545365465608143829509
