snapped_at,volume
2024-02-18 00:00:00 +0000,723037853.92698659713353095168628553
2024-02-19 00:00:00 +0000,541706548.3072127820010974845085696
2024-02-20 00:00:00 +0000,839602048.75350249564344134002353259
2024-02-21 00:00:00 +0000,1045332212.26748852234097100372097815
2024-02-22 00:00:00 +0000,868111222.19909465830138986649191662
2024-02-23 00:00:00 +0000,808076222.9547372316390976167374224
2024-02-24 00:00:00 +0000,858419767.85851740012051866784020469
2024-02-25 00:00:00 +0000,640893441.51627631814012496963352906
2024-02-26 00:00:00 +0000,829272758.69574249099525845373816128
2024-02-27 00:00:00 +0000,1025973454.29802908742460167634834286
2024-02-28 00:00:00 +0000,1424688543.99481161777824770578080544
2024-02-29 00:00:00 +0000,2092974112.1869786563097030051400384
2024-03-01 00:00:00 +0000,1626924399.74146475655682512740038947
2024-03-02 00:00:00 +0000,1096616885.96097438872147956054012068
2024-03-03 00:00:00 +0000,1141575115.5469664970137852907682953
2024-03-04 00:00:00 +0000,1199014533.1840495661623866210167753
2024-03-05 00:00:00 +0000,1506476620.13507333769276679694268266
2024-03-06 00:00:00 +0000,2320499007.0013499543298630804620734
2024-03-07 00:00:00 +0000,1399106646.87102025156125765316044083
2024-03-08 00:00:00 +0000,1331911093.4948694308446567425767511
2024-03-09 00:00:00 +0000,1213876651.31067661774376679332492365
2024-03-10 00:00:00 +0000,1376597698.37947046069534920935686643
2024-03-11 00:00:00 +0000,1459913545.4984085602966997713589727
2024-03-12 00:00:00 +0000,1801829931.273511556440750689107002
2024-03-13 00:00:00 +0000,1414935760.22330428948221186549331401
2024-03-14 00:00:00 +0000,1280770108.9568732163154498478780004
2024-03-15 00:00:00 +0000,1708638103.93979030854976216005958719
2024-03-16 00:00:00 +0000,1834983370.4175937509642293745739851
2024-03-17 00:00:00 +0000,1323741855.95884133604348467487131925
2024-03-18 00:00:00 +0000,1290019100.15166121946794879783929216
2024-03-19 00:00:00 +0000,1127760218.5151023527161894582565041
2024-03-20 00:00:00 +0000,1539496252.95440248958455688978143415
2024-03-21 00:00:00 +0000,1385466019.9366367377538880491323191
2024-03-22 00:00:00 +0000,1088154580.32055133592138817944026576
2024-03-23 00:00:00 +0000,850320286.94752624659315845625043276
2024-03-24 00:00:00 +0000,591556078.95275118896679974763930395
2024-03-25 00:00:00 +0000,621322100.84921939927237525545059228
2024-03-26 00:00:00 +0000,956900213.92053719722190944511276508
2024-03-27 00:00:00 +0000,1005536434.87760296942528990907378293
2024-03-28 00:00:00 +0000,1200445637.48762693456104338300370047
2024-03-29 00:00:00 +0000,1284855834.9998686530308000626152896
2024-03-30 00:00:00 +0000,1043352396.6643924827752747358721431
2024-03-31 00:00:00 +0000,731402717.1034729374359529160819798
2024-04-01 00:00:00 +0000,660288059.33720858439795712063107058
2024-04-02 00:00:00 +0000,880095972.96456611505170865407723416
2024-04-03 00:00:00 +0000,1031173811.78680447399649137416619254
2024-04-04 00:00:00 +0000,779818749.74620062070539231691750199
2024-04-05 00:00:00 +0000,697169947.165039890140712863962928
2024-04-06 00:00:00 +0000,663851160.96403515640065281949746928
2024-04-07 00:00:00 +0000,423166482.19692258050134507468239909
2024-04-08 00:00:00 +0000,429560524.00068823740514865786033678
2024-04-09 00:00:00 +0000,732166652.73622224271432205233834632
2024-04-10 00:00:00 +0000,765064861.2930567500170299984093912
2024-04-11 00:00:00 +0000,658350128.34823605615195503727766512
2024-04-12 00:00:00 +0000,565496482.73111098442749314544577886
2024-04-13 00:00:00 +0000,951499881.37613497469618440370685969
2024-04-14 00:00:00 +0000,1145091392.8016462274503842456190448
2024-04-15 00:00:00 +0000,798637830.49984202776307951815476266
2024-04-16 00:00:00 +0000,864023884.76006970221362227905728748
2024-04-17 00:00:00 +0000,721053230.9575602609649818603079226
2024-04-18 00:00:00 +0000,660571901.64319803253041301780783557
2024-04-19 00:00:00 +0000,604567649.84798935456873526097170892
2024-04-20 00:00:00 +0000,778789850.29464023673003355066100304
2024-04-21 00:00:00 +0000,465613286.5155557959148249670855448
2024-04-22 00:00:00 +0000,458055246.8722337712861963678849792
2024-04-23 00:00:00 +0000,545544282.0706319174560786251628206
2024-04-24 00:00:00 +0000,665872555.1658079056636416334592692
2024-04-25 00:00:00 +0000,693496201.07629837213422142209212761
2024-04-26 00:00:00 +0000,547302512.99763091324619585693014482
2024-04-27 00:00:00 +0000,440937114.31467570384745207547508298
2024-04-28 00:00:00 +0000,432339803.24733137229028057698764852
2024-04-29 00:00:00 +0000,373864374.79299740428121620935055857
2024-04-30 00:00:00 +0000,541916030.98300443082453962370692356
2024-05-01 00:00:00 +0000,596671776.811837180696467958694344
2024-05-02 00:00:00 +0000,729947938.2062010467784966972580044
2024-05-03 00:00:00 +0000,417767924.20923401212692119276739161
2024-05-04 00:00:00 +0000,535406929.57066948481824218211678634
2024-05-05 00:00:00 +0000,374899487.84501656259224720723052688
2024-05-06 00:00:00 +0000,355173865.65398118958819534929151722
2024-05-07 00:00:00 +0000,487783295.0566311575726949610714635
2024-05-08 00:00:00 +0000,423132596.56157733069001776984273954
2024-05-09 00:00:00 +0000,526320523.310733663977423779269926
2024-05-10 00:00:00 +0000,436732211.34461401202643587190294768
2024-05-11 00:00:00 +0000,459461017.68857354650832925488883925
2024-05-12 00:00:00 +0000,246960635.7082334759143077746063284
2024-05-13 00:00:00 +0000,225785589.15713689207076976761429012
2024-05-14 00:00:00 +0000,416341141.87450103738541750208386312
2024-05-15 00:00:00 +0000,439769973.828499638566760692129556
2024-05-16 00:00:00 +0000,540834676.6854129798356264174497802
2024-05-17 00:00:00 +0000,471191603.56954312732145816025122911
2024-05-18 00:00:00 +0000,389676296.53513541507276138088779717
2024-05-19 00:00:00 +0000,319450149.9390452865586706000259166
2024-05-20 00:00:00 +0000,312772804.8572271503694396806081622
2024-05-21 00:00:00 +0000,611309366.0618797231024296990816354
2024-05-22 00:00:00 +0000,658417387.69565699409357273847487311
2024-05-23 00:00:00 +0000,463155797.98777861324859037729806392
